"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 18 17:52:53 GMT 2022","Sat Jun 18 17:52:54 GMT 2022","930","","PortfolioPageTest","","PortfolioPageTest","backTest","isBackClickable",""
"passed","Sat Jun 18 17:52:48 GMT 2022","Sat Jun 18 17:52:49 GMT 2022","1472","","HomePageTest","","HomePageTest","isLogoutTest","isLogoutExists",""
"passed","Sat Jun 18 17:52:46 GMT 2022","Sat Jun 18 17:52:47 GMT 2022","939","","HomePageTest","","HomePageTest","registrationTest","isRegistrationSuccess",""
"passed","Sat Jun 18 17:52:44 GMT 2022","Sat Jun 18 17:52:46 GMT 2022","1675","","HomePageTest","","HomePageTest","logoutTest","isLogoutSuccess",""
"passed","Sat Jun 18 17:52:35 GMT 2022","Sat Jun 18 17:52:36 GMT 2022","1150","","BlogPageTest","","BlogPageTest","headingsToFileTest","getHeadingsToFile",""
"failed","Sat Jun 18 17:52:32 GMT 2022","Sat Jun 18 17:52:35 GMT 2022","3275","","BlogPageTest","","BlogPageTest","headingsToFileWithPaginationTest","getHeadingsToFileWithPagination",""
"passed","Sat Jun 18 17:52:52 GMT 2022","Sat Jun 18 17:52:53 GMT 2022","931","","PortfolioPageTest","","PortfolioPageTest","nextTest","isNextClickable",""
"passed","Sat Jun 18 17:52:38 GMT 2022","Sat Jun 18 17:52:38 GMT 2022","824","","HomePageTest","","HomePageTest","xTermAndConditionTest","xCookies",""
"passed","Sat Jun 18 17:52:38 GMT 2022","Sat Jun 18 17:52:39 GMT 2022","785","","HomePageTest","","HomePageTest","loginFTest","isLoginFail",""
"passed","Sat Jun 18 17:52:36 GMT 2022","Sat Jun 18 17:52:37 GMT 2022","1019","","BlogPageTest","","BlogPageTest","headingTest","getHeading",""
"passed","Sat Jun 18 17:52:51 GMT 2022","Sat Jun 18 17:52:52 GMT 2022","1032","","PortfolioPageTest","","PortfolioPageTest","firstTest","isFirstClickable",""
"passed","Sat Jun 18 17:52:41 GMT 2022","Sat Jun 18 17:52:41 GMT 2022","562","","HomePageTest","","HomePageTest","acceptTermAndConditionTest","acceptCookies",""
"passed","Sat Jun 18 17:52:39 GMT 2022","Sat Jun 18 17:52:41 GMT 2022","1565","","HomePageTest","","HomePageTest","loginSTest","isLoginSuccess",""
"passed","Sat Jun 18 17:52:50 GMT 2022","Sat Jun 18 17:52:51 GMT 2022","808","","PortfolioPageTest","","PortfolioPageTest","paginationAndCountTest","Pagination",""
"passed","Sat Jun 18 17:52:47 GMT 2022","Sat Jun 18 17:52:48 GMT 2022","532","","HomePageTest","","HomePageTest","navigationTest","isNavigationSuccess",""
"failed","Sat Jun 18 17:52:32 GMT 2022","Sat Jun 18 17:52:35 GMT 2022","2727","","ContactPageTest","","ContactPageTest","sendOopsContactTest","sendOops",""
"passed","Sat Jun 18 17:52:49 GMT 2022","Sat Jun 18 17:52:50 GMT 2022","992","","PortfolioPageTest","","PortfolioPageTest","lastTest","isLastClickable",""
"passed","Sat Jun 18 17:52:46 GMT 2022","Sat Jun 18 17:52:46 GMT 2022","511","","HomePageTest","","HomePageTest","isTermsAndConditionsTest","isTermsAndConditionsExists",""
"passed","Sat Jun 18 17:52:35 GMT 2022","Sat Jun 18 17:52:37 GMT 2022","1751","","ContactPageTest","","ContactPageTest","sendContactTest","sendSuccess",""
"passed","Sat Jun 18 17:52:41 GMT 2022","Sat Jun 18 17:52:44 GMT 2022","2673","","HomePageTest","","HomePageTest","registerFromDataFileTest","repetedFromDataFile",""
