"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 02 11:43:54 GMT 2022","Sat Jul 02 11:43:56 GMT 2022","1428","","HomePageTest","","HomePageTest","loginSTest","isLoginSuccess",""
"passed","Sat Jul 02 11:43:47 GMT 2022","Sat Jul 02 11:43:48 GMT 2022","920","","PortfolioPageTest","","PortfolioPageTest","lastTest","isLastClickable",""
"passed","Sat Jul 02 11:43:52 GMT 2022","Sat Jul 02 11:43:53 GMT 2022","1062","","ContactPageTest","","ContactPageTest","sendContactTest","sendSuccess",""
"passed","Sat Jul 02 11:43:49 GMT 2022","Sat Jul 02 11:43:50 GMT 2022","860","","PortfolioPageTest","","PortfolioPageTest","firstTest","isFirstClickable",""
"passed","Sat Jul 02 11:43:38 GMT 2022","Sat Jul 02 11:43:40 GMT 2022","1956","","BlogPageTest","","BlogPageTest","headingsToFileWithPaginationTest","getHeadingsToFileWithPagination",""
"passed","Sat Jul 02 11:43:59 GMT 2022","Sat Jul 02 11:44:00 GMT 2022","1508","","HomePageTest","","HomePageTest","logoutTest","isLogoutSuccess",""
"passed","Sat Jul 02 11:44:03 GMT 2022","Sat Jul 02 11:44:04 GMT 2022","1411","","HomePageTest","","HomePageTest","isLogoutTest","isLogoutExists",""
"passed","Sat Jul 02 11:44:01 GMT 2022","Sat Jul 02 11:44:02 GMT 2022","1303","","HomePageTest","","HomePageTest","registrationTest","isRegistrationSuccess",""
"passed","Sat Jul 02 11:44:01 GMT 2022","Sat Jul 02 11:44:01 GMT 2022","487","","HomePageTest","","HomePageTest","isTermsAndConditionsTest","isTermsAndConditionsExists",""
"passed","Sat Jul 02 11:43:56 GMT 2022","Sat Jul 02 11:43:59 GMT 2022","2544","","HomePageTest","","HomePageTest","registerFromDataFileTest","repetedFromDataFile",""
"passed","Sat Jul 02 11:43:45 GMT 2022","Sat Jul 02 11:43:47 GMT 2022","1693","","ProfilePageTest","","ProfilePageTest","profileChangeTest","profileChange",""
"passed","Sat Jul 02 11:43:50 GMT 2022","Sat Jul 02 11:43:51 GMT 2022","903","","PortfolioPageTest","","PortfolioPageTest","backTest","isBackClickable",""
"passed","Sat Jul 02 11:43:53 GMT 2022","Sat Jul 02 11:43:54 GMT 2022","526","","HomePageTest","","HomePageTest","xTermAndConditionTest","xCookies",""
"passed","Sat Jul 02 11:43:40 GMT 2022","Sat Jul 02 11:43:41 GMT 2022","945","","BlogPageTest","","BlogPageTest","headingTest","getHeading",""
"passed","Sat Jul 02 11:43:54 GMT 2022","Sat Jul 02 11:43:54 GMT 2022","725","","HomePageTest","","HomePageTest","loginFTest","isLoginFail",""
"passed","Sat Jul 02 11:43:50 GMT 2022","Sat Jul 02 11:43:50 GMT 2022","717","","PortfolioPageTest","","PortfolioPageTest","nextTest","isNextClickable",""
"passed","Sat Jul 02 11:43:56 GMT 2022","Sat Jul 02 11:43:56 GMT 2022","559","","HomePageTest","","HomePageTest","acceptTermAndConditionTest","acceptCookies",""
"passed","Sat Jul 02 11:43:44 GMT 2022","Sat Jul 02 11:43:45 GMT 2022","1613","","ProfilePageTest","","ProfilePageTest","profileDeleteTest","profileDelete",""
"passed","Sat Jul 02 11:43:40 GMT 2022","Sat Jul 02 11:43:40 GMT 2022","871","","BlogPageTest","","BlogPageTest","headingsToFileTest","getHeadingsToFile",""
"passed","Sat Jul 02 11:43:41 GMT 2022","Sat Jul 02 11:43:44 GMT 2022","2327","","ProfilePageTest","","ProfilePageTest","profileFillTest","profileFill",""
"passed","Sat Jul 02 11:43:48 GMT 2022","Sat Jul 02 11:43:49 GMT 2022","804","","PortfolioPageTest","","PortfolioPageTest","paginationAndCountTest","Pagination",""
"passed","Sat Jul 02 11:44:02 GMT 2022","Sat Jul 02 11:44:03 GMT 2022","501","","HomePageTest","","HomePageTest","navigationTest","isNavigationSuccess",""
"failed","Sat Jul 02 11:43:51 GMT 2022","Sat Jul 02 11:43:52 GMT 2022","772","","ContactPageTest","","ContactPageTest","sendOopsContactTest","sendOops",""
