"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 19 14:35:20 GMT 2022","Sun Jun 19 14:35:21 GMT 2022","1067","","BlogPageTest","","BlogPageTest","headingsToFileWithPaginationTest","getHeadingsToFileWithPagination",""
"passed","Sun Jun 19 14:35:31 GMT 2022","Sun Jun 19 14:35:32 GMT 2022","1242","","HomePageTest","","HomePageTest","isLogoutTest","isLogoutExists",""
"passed","Sun Jun 19 14:35:26 GMT 2022","Sun Jun 19 14:35:28 GMT 2022","2151","","HomePageTest","","HomePageTest","registerFromDataFileTest","repetedFromDataFile",""
"passed","Sun Jun 19 14:35:37 GMT 2022","Sun Jun 19 14:35:38 GMT 2022","797","","PortfolioPageTest","","PortfolioPageTest","backTest","isBackClickable",""
"passed","Sun Jun 19 14:35:15 GMT 2022","Sun Jun 19 14:35:17 GMT 2022","2365","","ProfilePageTest","","ProfilePageTest","profileFillTest","profileFill",""
"passed","Sun Jun 19 14:35:35 GMT 2022","Sun Jun 19 14:35:36 GMT 2022","827","","PortfolioPageTest","","PortfolioPageTest","firstTest","isFirstClickable",""
"passed","Sun Jun 19 14:35:30 GMT 2022","Sun Jun 19 14:35:31 GMT 2022","876","","HomePageTest","","HomePageTest","registrationTest","isRegistrationSuccess",""
"passed","Sun Jun 19 14:35:33 GMT 2022","Sun Jun 19 14:35:34 GMT 2022","1015","","ContactPageTest","","ContactPageTest","sendContactTest","sendSuccess",""
"passed","Sun Jun 19 14:35:34 GMT 2022","Sun Jun 19 14:35:35 GMT 2022","699","","PortfolioPageTest","","PortfolioPageTest","lastTest","isLastClickable",""
"passed","Sun Jun 19 14:35:21 GMT 2022","Sun Jun 19 14:35:22 GMT 2022","680","","BlogPageTest","","BlogPageTest","headingsToFileTest","getHeadingsToFile",""
"passed","Sun Jun 19 14:35:24 GMT 2022","Sun Jun 19 14:35:25 GMT 2022","1230","","HomePageTest","","HomePageTest","loginSTest","isLoginSuccess",""
"passed","Sun Jun 19 14:35:17 GMT 2022","Sun Jun 19 14:35:19 GMT 2022","1575","","ProfilePageTest","","ProfilePageTest","profileDeleteTest","profileDelete",""
"passed","Sun Jun 19 14:35:29 GMT 2022","Sun Jun 19 14:35:30 GMT 2022","507","","HomePageTest","","HomePageTest","isTermsAndConditionsTest","isTermsAndConditionsExists",""
"passed","Sun Jun 19 14:35:35 GMT 2022","Sun Jun 19 14:35:35 GMT 2022","738","","PortfolioPageTest","","PortfolioPageTest","paginationAndCountTest","Pagination",""
"passed","Sun Jun 19 14:35:23 GMT 2022","Sun Jun 19 14:35:24 GMT 2022","697","","HomePageTest","","HomePageTest","loginFTest","isLoginFail",""
"passed","Sun Jun 19 14:35:19 GMT 2022","Sun Jun 19 14:35:20 GMT 2022","1488","","ProfilePageTest","","ProfilePageTest","profileChangeTest","profileChange",""
"failed","Sun Jun 19 14:35:32 GMT 2022","Sun Jun 19 14:35:33 GMT 2022","631","","ContactPageTest","","ContactPageTest","sendOopsContactTest","sendOops",""
"passed","Sun Jun 19 14:35:28 GMT 2022","Sun Jun 19 14:35:29 GMT 2022","1314","","HomePageTest","","HomePageTest","logoutTest","isLogoutSuccess",""
"passed","Sun Jun 19 14:35:36 GMT 2022","Sun Jun 19 14:35:37 GMT 2022","693","","PortfolioPageTest","","PortfolioPageTest","nextTest","isNextClickable",""
"passed","Sun Jun 19 14:35:23 GMT 2022","Sun Jun 19 14:35:23 GMT 2022","552","","HomePageTest","","HomePageTest","xTermAndConditionTest","xCookies",""
"passed","Sun Jun 19 14:35:25 GMT 2022","Sun Jun 19 14:35:26 GMT 2022","556","","HomePageTest","","HomePageTest","acceptTermAndConditionTest","acceptCookies",""
"passed","Sun Jun 19 14:35:31 GMT 2022","Sun Jun 19 14:35:31 GMT 2022","484","","HomePageTest","","HomePageTest","navigationTest","isNavigationSuccess",""
"passed","Sun Jun 19 14:35:22 GMT 2022","Sun Jun 19 14:35:23 GMT 2022","757","","BlogPageTest","","BlogPageTest","headingTest","getHeading",""
